,sub,mask,lag,distance,run,data
0,sub-MSC09,dil1,-829.2042958319444,1,7,scrubbed
0,sub-MSC09,dil2,-1203.0275117266513,2,7,scrubbed
0,sub-MSC09,dil3,-1394.9421735294632,3,7,scrubbed
0,sub-MSC09,nacc,663.6395342555423,0,8,scrubbed
0,sub-MSC09,dil1,-59.66670008102448,1,8,scrubbed
0,sub-MSC09,dil2,-141.56901125409576,2,8,scrubbed
0,sub-MSC09,dil3,-85.03694202203937,3,8,scrubbed
0,sub-MSC09,nacc,104.23455594171827,0,9,scrubbed
0,sub-MSC09,dil1,246.79530787526352,1,9,scrubbed
0,sub-MSC09,dil2,66.55869173120405,2,9,scrubbed
0,sub-MSC09,dil3,-88.9033557405291,3,9,scrubbed
