,x,y,z,prefs
526,15,153,81,0.5505621624027052
527,15,153,84,0.5382613388788274
528,15,153,87,0.5706646085301164
529,15,156,75,0.48882255358807136
530,15,156,78,0.4579634051321333
531,18,117,102,-0.28240375084455993
532,18,120,102,0.046355466856674354
533,18,123,102,-0.05779304358356946
534,18,126,102,0.07818978497599348
535,18,129,99,0.12391741613360069
536,18,129,102,0.04412811805730689
537,18,132,99,-0.0017258944457676784
538,18,135,99,0.049787783877809105
539,18,138,66,0.6084321212831472
540,18,138,69,0.7391807346834525
541,18,138,72,0.5336289187590347
542,18,138,96,0.7700656935320866
543,18,138,99,0.01803900438494055
544,18,141,66,0.5015292595428549
545,18,141,69,0.5845092182294025
546,18,141,72,0.31368299425090085
547,18,141,75,0.7792924951753578
548,18,141,78,1.0849897008428324
549,18,141,93,0.9113613545119184
550,18,141,96,0.7381384154866233
551,18,144,69,0.42526989072054544
552,18,144,72,0.4068387398778166
553,18,144,75,1.1576650822634709
554,18,144,78,1.04353161928823
555,18,144,90,0.9233221218756769
556,18,144,93,0.8437886656540327
557,18,144,96,0.5020604087719067
558,18,147,69,0.42480075302460174
559,18,147,72,0.5185983365770293
560,18,147,75,0.9209697264986461
561,18,147,87,0.826584738555
562,18,147,90,0.9067311366559162
563,18,147,93,0.6558741906718881
564,18,150,69,0.44022126975279247
565,18,150,72,0.6629481060440918
566,18,150,84,0.3941918599767468
567,18,150,87,0.6780346667768786
568,18,150,90,0.6232422154632945
569,18,153,78,0.5315276091710709
570,18,153,81,0.062091612286839126
571,18,153,84,0.15163530451943852
572,18,153,87,0.514039768798315
573,18,156,78,0.12150392755083828
574,18,156,81,0.0498564493219158
575,21,135,81,-0.8026123652384016
576,21,135,84,-0.8762682204253178
577,21,138,69,0.7304222402076177
578,21,138,72,0.5226685540308531
579,21,138,75,0.9203486341520903
580,21,138,78,1.1151943144322058
581,21,138,81,-0.6573019693882561
582,21,138,84,-0.8665173825940249
583,21,141,69,0.6453982045623642
584,21,141,72,0.5203780657375852
585,21,141,75,1.0758094071720823
586,21,141,78,1.310185097586296
587,21,141,81,1.3225099529987707
588,21,141,84,0.8724679212693858
589,21,144,69,0.46209209255266753
590,21,144,72,0.6722629254397983
591,21,144,75,1.0435722990242173
592,21,144,78,1.3202941143148368
593,21,144,81,1.3584280289095194
594,21,147,69,0.45623153927592774
595,21,147,72,0.5412241813226546
596,21,147,75,0.9422612961741429
597,21,147,78,1.0615036889703031
598,21,150,72,0.11496398397235574
599,21,150,75,0.7969801470723166
600,24,126,84,-0.6504081394720169
601,24,126,87,-0.38087435454806906
602,24,129,81,-0.7203736522624167
603,24,129,84,-0.6885927685854887
604,24,129,87,-0.5538756843546102
605,24,129,90,0.10948087147109531
606,24,132,75,-0.23671647367012177
607,24,132,78,-0.49752468711691866
608,24,132,81,-0.685365149724714
609,24,132,84,-0.6039743357803276
610,24,132,87,-0.2878864889933479
611,24,132,90,0.5425294304000655
612,24,135,72,0.21840380038158685
613,24,135,75,0.4797906136886832
614,24,135,78,-0.15865256008540107
615,24,135,81,-0.8043611113398018
616,24,135,84,-0.8113986122320178
617,24,135,87,-0.33765299840258856
618,24,135,90,0.798514587452722
619,24,138,69,0.462250222926349
620,24,138,72,0.6676682611210687
621,24,138,75,0.9393759739387644
622,24,138,78,1.0456979790920284
623,24,138,81,-0.47899963800657563
624,24,138,84,-0.6385940894788706
625,24,138,87,0.6582128565195609
626,24,141,69,0.6209300722534473
627,24,141,72,0.840986286431512
628,24,141,75,1.091514278648384
629,24,141,78,1.294913746404582
630,24,141,81,1.2956068707438027
631,24,141,84,0.7988736888123122
632,24,141,87,0.7347996692898568
633,24,144,69,0.40656999413260764
634,24,144,72,0.9916582329331955
635,24,144,75,1.0634909266541686
636,24,144,78,1.2911619969337393
637,24,144,81,1.2707479556386854
638,24,144,84,0.8354401632107538
639,24,147,72,0.19887051428742847
640,24,147,75,0.877452954421368
641,24,147,78,1.1011665116088627
642,24,147,81,1.0412543906754763
643,24,147,84,0.8329170105237785
644,24,150,75,0.721765236780021
645,24,150,78,0.8191946622210062
646,27,117,84,-0.9404193058257125
647,27,120,81,-0.8131192954626516
648,27,120,84,-0.8649310070998807
649,27,120,87,-0.7714452123755857
650,27,123,78,-0.8595319935272708
651,27,123,81,-0.7244881255491378
652,27,123,84,-0.6649176231168019
653,27,123,87,-0.6346679106656214
654,27,123,90,-0.4493697112296977
655,27,126,75,-0.7560552990888986
656,27,126,78,-0.8126693559671934
657,27,126,81,-0.6543452046972908
658,27,126,84,-0.4927193395523226
659,27,126,87,-0.5935379262513665
660,27,126,90,-0.43119572069584144
661,27,129,72,-0.28807278239127865
662,27,129,75,-0.6095296883917158
663,27,129,78,-0.6590952292075534
664,27,129,81,-0.5165830394622746
665,27,129,84,-0.489960825991145
666,27,129,87,-0.45312349532982776
667,27,129,90,-0.4477135890703845
668,27,132,72,-0.13763362883898117
669,27,132,75,-0.23859368797482355
670,27,132,78,-0.10401259533606877
671,27,132,81,-0.525606433728592
672,27,132,84,-0.46762735297380964
673,27,132,87,-0.23431735308480417
674,27,132,90,-0.492012081398682
675,27,135,72,0.25050815294184003
676,27,135,75,0.21649416514010478
677,27,135,78,0.21669390278153128
